name,status,detail,size_orig,size_compiled,first_diff_offset
NPC_Burah_Aglaja.bin,OK_ROUNDTRIP,,50817,50817,
NPC_Burah_Alexandr.bin,OK_ROUNDTRIP,,21719,21719,
NPC_Burah_Andrei.bin,OK_ROUNDTRIP,,35378,35378,
NPC_Burah_Anna.bin,OK_ROUNDTRIP,,22685,22685,
NPC_Burah_BigVlad.bin,OK_ROUNDTRIP,,50895,50895,
NPC_Burah_Block.bin,OK_ROUNDTRIP,,34738,34738,
NPC_Burah_Danko.bin,OK_ROUNDTRIP,,140249,140249,
NPC_Burah_Eva.bin,OK_ROUNDTRIP,,26822,26822,
NPC_Burah_Georg.bin,OK_ROUNDTRIP,,24806,24806,
NPC_Burah_Gorbun.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t2::init"")""",19679,0,
NPC_Burah_Grif.bin,OK_ROUNDTRIP,,65926,65926,
NPC_Burah_Han.bin,OK_ROUNDTRIP,,19453,19453,
NPC_Burah_Julia.bin,OK_ROUNDTRIP,,13266,13266,
NPC_Burah_Kapella.bin,OK_ROUNDTRIP,,71342,71342,
NPC_Burah_Katerina.bin,OK_ROUNDTRIP,,27220,27220,
NPC_Burah_Lara.bin,OK_ROUNDTRIP,,27514,27514,
NPC_Burah_Laska.bin,OK_ROUNDTRIP,,31003,31003,
NPC_Burah_Maria.bin,OK_ROUNDTRIP,,27092,27092,
NPC_Burah_Mark.bin,OK_ROUNDTRIP,,13348,13348,
NPC_Burah_Mat.bin,OK_ROUNDTRIP,,38089,38089,
NPC_Burah_Mishka.bin,OK_ROUNDTRIP,,32834,32834,
NPC_Burah_MladVlad.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t2::init"")""",56808,0,
NPC_Burah_Notkin.bin,OK_ROUNDTRIP,,88139,88139,
NPC_Burah_Ospina.bin,BIN_MISMATCH,,52044,52031,0xd27
NPC_Burah_Petr.bin,OK_ROUNDTRIP,,16601,16601,
NPC_Burah_Rubin.bin,OK_ROUNDTRIP,,11075,11075,
NPC_Burah_Spi4ka.bin,OK_ROUNDTRIP,,23769,23769,
NPC_Burah_Starshina.bin,OK_ROUNDTRIP,,54907,54907,
NPC_Burah_Viktor.bin,OK_ROUNDTRIP,,22267,22267,
NPC_Danko_Aglaja.bin,OK_ROUNDTRIP,,80671,80671,
NPC_Danko_Alexandr.bin,BIN_MISMATCH,,89866,89853,0x1402
NPC_Danko_Andrei.bin,OK_ROUNDTRIP,,66902,66902,
NPC_Danko_Anna.bin,OK_ROUNDTRIP,,69411,69411,
NPC_Danko_BigVlad.bin,OK_ROUNDTRIP,,90837,90837,
NPC_Danko_Block.bin,OK_ROUNDTRIP,,37567,37567,
NPC_Danko_Eva.bin,BIN_MISMATCH,,54971,54963,0x8815
NPC_Danko_Georg.bin,OK_ROUNDTRIP,,74143,74143,
NPC_Danko_Grif.bin,OK_ROUNDTRIP,,63424,63424,
NPC_Danko_Han.bin,BIN_MISMATCH,,43699,43686,0xa89
NPC_Danko_Julia.bin,BIN_MISMATCH,,69827,69814,0xf8c
NPC_Danko_Kapella.bin,BIN_MISMATCH,,59851,59838,0xe27
NPC_Danko_Katerina.bin,OK_ROUNDTRIP,,56476,56476,
NPC_Danko_Lara.bin,OK_ROUNDTRIP,,87110,87110,
NPC_Danko_Laska.bin,OK_ROUNDTRIP,,34532,34532,
NPC_Danko_Maria.bin,OK_ROUNDTRIP,,69163,69163,
NPC_Danko_Mark.bin,OK_ROUNDTRIP,,36232,36232,
NPC_Danko_Mat.bin,OK_ROUNDTRIP,,33497,33497,
NPC_Danko_Mishka.bin,OK_ROUNDTRIP,,18974,18974,
NPC_Danko_MladVlad.bin,SCOMP_ERROR,"Error during compilation: ""Variable ""_null_obj"" not found (compiling: ""t2::init"")""",115590,0,
NPC_Danko_Notkin.bin,OK_ROUNDTRIP,,27787,27787,
NPC_Danko_Nudegirl.bin,OK_ROUNDTRIP,,16010,16010,
NPC_Danko_Ospina.bin,OK_ROUNDTRIP,,55940,55940,
NPC_Danko_Petr.bin,OK_ROUNDTRIP,,49380,49380,
NPC_Danko_Rubin.bin,OK_ROUNDTRIP,,57141,57141,
NPC_Danko_Spi4ka.bin,OK_ROUNDTRIP,,41142,41142,
NPC_Danko_Viktor.bin,OK_ROUNDTRIP,,96584,96584,
NPC_Klara_Aglaja.bin,OK_ROUNDTRIP,,69284,69284,
NPC_Klara_Alexandr.bin,BIN_MISMATCH,,78524,78537,0xfb1
NPC_Klara_Andrei.bin,OK_ROUNDTRIP,,38080,38080,
NPC_Klara_Anna.bin,OK_ROUNDTRIP,,48896,48896,
NPC_Klara_BigVlad.bin,OK_ROUNDTRIP,,17686,17686,
NPC_Klara_Block.bin,OK_ROUNDTRIP,,35398,35398,
NPC_Klara_Burah.bin,OK_ROUNDTRIP,,40962,40962,
NPC_Klara_Danko.bin,OK_ROUNDTRIP,,29004,29004,
NPC_Klara_Eva.bin,OK_ROUNDTRIP,,31915,31915,
